Time,Temperature,Dew_point,Humidity,Wind,Wind speed,Wind gust,Pressure,Precip,Condition,Day,Month,Year
7:00 am,61 °F,48 °F,63%,SE,10 mph,0 mph,30.03 in,0.0 in,Fair,1,1,2021
7:50 am,61 °F,48 °F,63%,SE,13 mph,0 mph,30.03 in,0.0 in,Fair,1,1,2021
8:50 am,63 °F,50 °F,63%,SE,9 mph,0 mph,30.06 in,0.0 in,Fair,1,1,2021
9:50 am,64 °F,50 °F,59%,SE,12 mph,0 mph,30.06 in,0.0 in,Fair,1,1,2021
10:50 am,66 °F,50 °F,56%,ESE,14 mph,0 mph,30.03 in,0.0 in,Fair,1,1,2021
11:50 am,68 °F,50 °F,52%,E,14 mph,0 mph,30.00 in,0.0 in,Fair,1,1,2021
12:50 pm,70 °F,50 °F,49%,ESE,14 mph,0 mph,29.97 in,0.0 in,Fair,1,1,2021
1:50 pm,72 °F,50 °F,46%,ESE,10 mph,0 mph,29.97 in,0.0 in,Fair,1,1,2021
2:50 pm,72 °F,50 °F,46%,ESE,13 mph,0 mph,29.97 in,0.0 in,Fair,1,1,2021
3:50 pm,70 °F,50 °F,49%,ESE,9 mph,0 mph,29.97 in,0.0 in,Fair,1,1,2021
4:50 pm,70 °F,50 °F,49%,NNE,5 mph,0 mph,29.97 in,0.0 in,Fair,1,1,2021
5:50 pm,68 °F,59 °F,73%,N,8 mph,0 mph,30.00 in,0.0 in,Fair,1,1,2021
6:50 pm,66 °F,57 °F,73%,NNE,6 mph,0 mph,30.00 in,0.0 in,Fair,1,1,2021
7:00 am,59 °F,46 °F,63%,SE,9 mph,0 mph,30.06 in,0.0 in,Fair,2,1,2021
7:50 am,61 °F,46 °F,59%,SSE,9 mph,0 mph,30.06 in,0.0 in,Fair,2,1,2021
8:50 am,63 °F,46 °F,55%,SE,13 mph,0 mph,30.09 in,0.0 in,Fair,2,1,2021
9:50 am,64 °F,46 °F,52%,SE,13 mph,0 mph,30.09 in,0.0 in,Fair,2,1,2021
10:50 am,68 °F,46 °F,46%,SE,14 mph,0 mph,30.06 in,0.0 in,Fair,2,1,2021
11:50 am,70 °F,46 °F,43%,SE,16 mph,0 mph,30.03 in,0.0 in,Fair,2,1,2021
12:50 pm,70 °F,48 °F,46%,ESE,15 mph,0 mph,30.00 in,0.0 in,Fair,2,1,2021
1:50 pm,72 °F,48 °F,43%,ESE,12 mph,0 mph,30.00 in,0.0 in,Fair,2,1,2021
2:50 pm,72 °F,48 °F,43%,ENE,9 mph,0 mph,30.00 in,0.0 in,Fair,2,1,2021
3:50 pm,72 °F,48 °F,43%,E,6 mph,0 mph,30.00 in,0.0 in,Fair,2,1,2021
4:50 pm,68 °F,59 °F,73%,N,7 mph,0 mph,30.03 in,0.0 in,Fair,2,1,2021
5:50 pm,66 °F,59 °F,78%,NNE,7 mph,0 mph,30.03 in,0.0 in,Fair,2,1,2021
6:50 pm,63 °F,55 °F,77%,VAR,2 mph,0 mph,30.03 in,0.0 in,Fair,2,1,2021
7:50 pm,63 °F,52 °F,68%,VAR,3 mph,0 mph,30.03 in,0.0 in,Fair,2,1,2021
7:00 am,66 °F,46 °F,49%,SE,8 mph,0 mph,30.03 in,0.0 in,Fair,3,1,2021
7:50 am,66 °F,46 °F,49%,SE,8 mph,0 mph,30.03 in,0.0 in,Fair,3,1,2021
8:50 am,66 °F,48 °F,52%,SE,10 mph,0 mph,30.06 in,0.0 in,Fair,3,1,2021
9:50 am,68 °F,48 °F,49%,SE,8 mph,0 mph,30.06 in,0.0 in,Fair,3,1,2021
10:50 am,70 °F,48 °F,46%,SE,15 mph,0 mph,30.03 in,0.0 in,Fair,3,1,2021
11:50 am,72 °F,46 °F,41%,E,12 mph,0 mph,30.00 in,0.0 in,Fair,3,1,2021
12:50 pm,73 °F,48 °F,41%,E,10 mph,0 mph,29.97 in,0.0 in,Fair,3,1,2021
1:50 pm,73 °F,48 °F,41%,E,10 mph,0 mph,29.97 in,0.0 in,Fair,3,1,2021
2:50 pm,70 °F,57 °F,64%,N,9 mph,0 mph,29.97 in,0.0 in,Fair,3,1,2021
3:50 pm,70 °F,59 °F,68%,N,8 mph,0 mph,30.00 in,0.0 in,Fair,3,1,2021
4:50 pm,68 °F,61 °F,78%,N,8 mph,0 mph,30.00 in,0.0 in,Fair,3,1,2021
5:50 pm,68 °F,57 °F,68%,NNE,6 mph,0 mph,30.03 in,0.0 in,Fair,3,1,2021
6:50 pm,63 °F,57 °F,82%,CALM,0 mph,0 mph,30.03 in,0.0 in,Fair,3,1,2021
7:50 pm,61 °F,55 °F,82%,VAR,3 mph,0 mph,30.03 in,0.0 in,Fair,3,1,2021
8:50 pm,61 °F,54 °F,77%,SE,5 mph,0 mph,30.03 in,0.0 in,Fair,3,1,2021
9:50 pm,64 °F,48 °F,56%,SSE,5 mph,0 mph,30.03 in,0.0 in,Fair,3,1,2021
5:50 am,63 °F,43 °F,48%,SSE,10 mph,0 mph,30.03 in,0.0 in,Fair,4,1,2021
6:50 am,63 °F,41 °F,45%,SE,12 mph,0 mph,30.06 in,0.0 in,Fair,4,1,2021
7:00 am,63 °F,41 °F,45%,SE,14 mph,0 mph,30.06 in,0.0 in,Fair,4,1,2021
7:50 am,64 °F,43 °F,45%,SSE,12 mph,0 mph,30.06 in,0.0 in,Fair,4,1,2021
8:50 am,66 °F,43 °F,43%,SE,16 mph,0 mph,30.06 in,0.0 in,Fair,4,1,2021
9:50 am,66 °F,45 °F,46%,SSE,13 mph,0 mph,30.06 in,0.0 in,Fair,4,1,2021
10:50 am,70 °F,46 °F,43%,ESE,12 mph,0 mph,30.03 in,0.0 in,Fair,4,1,2021
11:50 am,70 °F,46 °F,43%,ESE,15 mph,0 mph,29.97 in,0.0 in,Fair,4,1,2021
12:50 pm,72 °F,48 °F,43%,E,14 mph,0 mph,29.97 in,0.0 in,Fair,4,1,2021
1:50 pm,73 °F,50 °F,44%,E,12 mph,0 mph,29.97 in,0.0 in,Fair,4,1,2021
